Screen, Action, Date --- Time
Estimote Timer,Started Estimote Service at,08/05/2019 15:40:45.102
Estimote Timer,No Activity at 1,08/05/2019 15:40:45.219
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:40:45.332
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:40:49.908
Main Thread,Enabled an Internet Connection at,08/05/2019 15:40:50.057
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:40:50.101
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:40:50.104
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:40:50.107
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:40:50.533
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:40:50.578
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:40:54.112
Main Thread,Enabled an Internet Connection at,08/05/2019 15:40:54.145
Main Activity,Restarted Heart Rate Timer at,08/05/2019 15:40:57.115
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 15:40:57.145
Main Activity,Restarted Estimote Timer at,08/05/2019 15:40:57.171
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:40:57.230
Estimote Timer,Started Estimote Service at,08/05/2019 15:40:57.328
Estimote Timer,No Activity at 1,08/05/2019 15:40:57.381
Estimote Sensor,Killed Sensor at,08/05/2019 15:41:02.010
Estimote Service,Killed Estimote Service at,08/05/2019 15:41:02.044
Main Thread,Wifi is disabled at,08/05/2019 15:41:06.452
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 15:41:06.490
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 15:41:06.491
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 15:41:06.492
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:41:06.574
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:41:06.601
Main Thread,Wifi is disabled at,08/05/2019 15:41:08.705
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/05/2019 15:41:08.738
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/05/2019 15:41:08.738
Sleep Button,Started Estimote Sensor while NOT charging at,08/05/2019 15:41:08.739
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:41:08.845
Estimote Timer,Started Estimote Service at,08/05/2019 15:41:08.890
Estimote Timer,No Activity at 1,08/05/2019 15:41:08.921
Estimote Sensor,Killed Sensor at,08/05/2019 15:41:23.961
Estimote Service,Killed Estimote Service at,08/05/2019 15:41:23.980
Heart Rate Sensor,Killed Sensor at,08/05/2019 15:41:38.938
Main Activity,Failed to unregister battery information at,08/05/2019 15:41:46.139
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:43:04.316
Main Thread,Enabled an Internet Connection at,08/05/2019 15:43:04.350
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:43:04.407
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:43:04.456
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:43:04.476
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:43:05.128
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:43:05.179
Main Thread,Enabled an Internet Connection at,08/05/2019 15:43:06.147
Main Activity,Failed to unregister battery information at,08/05/2019 15:43:39.990
Main Activity,Started Heart Rate Timer at,08/05/2019 15:46:39.061
Main Activity,Started Accelerometer Sensor at,08/05/2019 15:46:39.110
Main Activity,Started Pedometer Sensor at,08/05/2019 15:46:39.141
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:46:39.488
Estimote Timer,Started Estimote Service at,08/05/2019 15:46:39.665
Estimote Timer,No Activity at 1,08/05/2019 15:46:39.786
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:46:44.091
Main Thread,Enabled an Internet Connection at,08/05/2019 15:46:44.166
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:46:44.244
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:46:44.247
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:46:44.249
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:46:44.663
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:46:44.695
Estimote Sensor,Killed Sensor at,08/05/2019 15:46:56.925
Estimote Service,Killed Estimote Service at,08/05/2019 15:46:57.383
Main Activity,Restarted Heart Rate Timer at,08/05/2019 15:47:06.847
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 15:47:06.882
Main Activity,Restarted Estimote Timer at,08/05/2019 15:47:06.910
