Screen, Action, Date --- Time
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:47:07.341
Estimote Timer,Started Estimote Service at,08/05/2019 15:47:07.572
Estimote Timer,No Activity at 1,08/05/2019 15:47:07.690
Main Thread,Wifi is disabled at,08/05/2019 15:47:10.364
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 15:47:10.397
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 15:47:10.399
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 15:47:10.400
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:47:10.488
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:47:10.526
Main Activity,Failed to unregister battery information at,08/05/2019 15:47:13.449
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:47:19.097
Main Activity,Restarted Heart Rate Timer at,08/05/2019 15:47:21.027
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 15:47:21.055
Main Activity,Restarted Estimote Timer at,08/05/2019 15:47:21.092
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:47:21.393
Estimote Timer,Started Estimote Service at,08/05/2019 15:47:21.504
Estimote Timer,No Activity at 1,08/05/2019 15:47:21.708
Estimote Sensor,Killed Sensor at,08/05/2019 15:47:23.186
Estimote Service,Killed Estimote Service at,08/05/2019 15:47:23.200
Main Activity,Failed to unregister battery information at,08/05/2019 15:47:48.395
Heart Rate Sensor,Killed Sensor at,08/05/2019 15:47:51.763
Main Activity,Started Heart Rate Timer at,08/05/2019 15:48:21.140
Main Activity,Started Accelerometer Sensor at,08/05/2019 15:48:21.189
Main Activity,Started Pedometer Sensor at,08/05/2019 15:48:21.220
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:48:21.728
Estimote Timer,Started Estimote Service at,08/05/2019 15:48:21.959
Estimote Timer,No Activity at 1,08/05/2019 15:48:22.111
Main Activity,Failed to unregister battery information at,08/05/2019 15:48:23.903
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:48:26.173
Main Thread,Enabled an Internet Connection at,08/05/2019 15:48:26.367
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:48:26.430
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:48:26.433
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:48:26.436
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:48:26.842
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:48:26.875
Main Activity,Started Heart Rate Timer at,08/05/2019 15:48:30.270
Main Activity,Started Accelerometer Sensor at,08/05/2019 15:48:30.303
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:48:30.550
Estimote Timer,Started Estimote Service at,08/05/2019 15:48:30.641
Estimote Timer,No Activity at 1,08/05/2019 15:48:30.667
Main Activity,Failed to unregister battery information at,08/05/2019 15:48:31.425
Estimote Sensor,Killed Sensor at,08/05/2019 15:48:38.654
Estimote Service,Killed Estimote Service at,08/05/2019 15:48:38.724
Main Thread,Enabled an Internet Connection at,08/05/2019 15:48:50.305
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:48:50.356
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:48:50.357
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:48:50.358
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:48:50.526
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:48:50.557
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:48:51.193
Main Activity,Failed to unregister battery information at,08/05/2019 15:49:48.934
Main Activity,Restarted Heart Rate Timer at,08/05/2019 16:07:36.914
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 16:07:36.943
Main Activity,Restarted Estimote Timer at,08/05/2019 16:07:36.968
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:07:37.057
Estimote Timer,Started Estimote Service at,08/05/2019 16:07:37.162
Estimote Timer,No Activity at 1,08/05/2019 16:07:37.215
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:07:48.035
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:07:48.375
Estimote Sensor,Killed Sensor at,08/05/2019 16:07:52.298
Estimote Service,Killed Estimote Service at,08/05/2019 16:07:52.315
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:08:07.222
Main Activity,Failed to unregister battery information at,08/05/2019 16:08:17.762
Estimote Timer,Started Estimote Service at,08/05/2019 16:09:37.163
Estimote Timer,No Activity at 2,08/05/2019 16:09:37.178
Estimote Sensor,Killed Sensor at,08/05/2019 16:09:52.257
Estimote Service,Killed Estimote Service at,08/05/2019 16:09:52.271
Main Activity,Started Heart Rate Timer at,08/05/2019 16:10:53.646
Main Activity,Started Accelerometer Sensor at,08/05/2019 16:10:53.698
Main Activity,Started Pedometer Sensor at,08/05/2019 16:10:53.729
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:10:54.789
Estimote Timer,Started Estimote Service at,08/05/2019 16:10:55.914
Estimote Timer,No Activity at 1,08/05/2019 16:10:55.946
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:10:59.323
Main Thread,Enabled an Internet Connection at,08/05/2019 16:10:59.441
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 16:10:59.576
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 16:10:59.579
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 16:10:59.582
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:11:05.022
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 16:11:05.253
Main Activity,Failed to unregister battery information at,08/05/2019 16:11:12.526
Estimote Sensor,Killed Sensor at,08/05/2019 16:11:13.724
Estimote Service,Killed Estimote Service at,08/05/2019 16:11:13.741
Main Activity,Failed to unregister battery information at,08/05/2019 16:11:24.921
Main Activity,Restarted Heart Rate Timer at,08/05/2019 16:11:31.227
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 16:11:31.267
Main Activity,Restarted Estimote Timer at,08/05/2019 16:11:31.371
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:11:31.666
Estimote Timer,Started Estimote Service at,08/05/2019 16:11:31.821
Estimote Timer,No Activity at 1,08/05/2019 16:11:31.899
Estimote Sensor,Killed Sensor at,08/05/2019 16:11:47.053
Estimote Service,Killed Estimote Service at,08/05/2019 16:11:47.076
Main Activity,Failed to unregister battery information at,08/05/2019 16:11:56.824
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:12:01.960
Main Activity,Started Heart Rate Timer at,08/05/2019 16:12:14.471
Main Activity,Started Accelerometer Sensor at,08/05/2019 16:12:14.512
Main Activity,Started Pedometer Sensor at,08/05/2019 16:12:14.546
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:12:14.976
Estimote Timer,Started Estimote Service at,08/05/2019 16:12:15.149
Estimote Timer,No Activity at 1,08/05/2019 16:12:15.350
Main Activity,Failed to unregister battery information at,08/05/2019 16:12:17.974
Main Activity,Failed to unregister battery information at,08/05/2019 16:12:24.009
Estimote Sensor,Killed Sensor at,08/05/2019 16:12:32.419
Estimote Service,Killed Estimote Service at,08/05/2019 16:12:32.437
Main Thread,Wifi is disabled at,08/05/2019 16:12:35.439
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 16:12:35.472
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 16:12:35.473
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 16:12:35.474
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 16:12:35.557
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:12:35.587
Main Thread,Wifi is disabled at,08/05/2019 17:47:56.826
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/05/2019 17:47:56.868
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/05/2019 17:47:56.870
Sleep Button,Started Estimote Sensor while NOT charging at,08/05/2019 17:47:56.871
Estimote Timer,Started Estimote Service at,08/05/2019 17:47:57.037
Estimote Timer,No Activity at 1,08/05/2019 17:47:57.067
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:47:57.060
Estimote Timer,Started Estimote Service at,08/05/2019 17:47:57.190
Estimote Timer,No Activity at 2,08/05/2019 17:47:57.214
Estimote Sensor,Killed Sensor at,08/05/2019 17:48:12.214
Estimote Service,Killed Estimote Service at,08/05/2019 17:48:12.302
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:48:27.335
Estimote Timer,Started Estimote Service at,08/05/2019 17:49:57.037
Estimote Timer,No Activity at 3,08/05/2019 17:49:57.053
Estimote Timer,Started Estimote Service at,08/05/2019 17:49:57.192
Estimote Timer,No Activity at 4,08/05/2019 17:49:57.207
Estimote Sensor,Killed Sensor at,08/05/2019 17:50:12.123
Estimote Service,Killed Estimote Service at,08/05/2019 17:50:12.141
Estimote Timer,Started Estimote Service at,08/05/2019 17:51:57.039
Estimote Timer,No Activity at 5,08/05/2019 17:51:57.055
Estimote Timer,Stopped the Estimote Timer,08/05/2019 17:51:57.067
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:51:57.145
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:52:57.058
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:53:27.139
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:57:57.060
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:58:27.137
Estimote Timer,Started Estimote Service at,08/05/2019 17:58:42.239
Estimote Timer,No Activity at 1,08/05/2019 17:58:42.254
Estimote Sensor,Killed Sensor at,08/05/2019 17:58:57.340
Estimote Service,Killed Estimote Service at,08/05/2019 17:58:57.352
Estimote Timer,Started Estimote Service at,08/05/2019 18:00:42.239
Estimote Timer,No Activity at 2,08/05/2019 18:00:42.254
Estimote Sensor,Killed Sensor at,08/05/2019 18:00:57.350
Estimote Service,Killed Estimote Service at,08/05/2019 18:00:57.362
Estimote Timer,Started Estimote Service at,08/05/2019 18:02:42.239
Estimote Timer,No Activity at 3,08/05/2019 18:02:42.255
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:02:57.060
Estimote Sensor,Killed Sensor at,08/05/2019 18:02:57.283
Estimote Service,Killed Estimote Service at,08/05/2019 18:02:57.308
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:03:27.136
Estimote Timer,Started Estimote Service at,08/05/2019 18:04:42.242
Estimote Timer,No Activity at 4,08/05/2019 18:04:42.258
Estimote Sensor,Killed Sensor at,08/05/2019 18:04:57.287
Estimote Service,Killed Estimote Service at,08/05/2019 18:04:57.301
Estimote Timer,Started Estimote Service at,08/05/2019 18:06:42.242
Estimote Timer,No Activity at 5,08/05/2019 18:06:42.255
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:06:42.265
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:06:42.279
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:07:57.063
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:08:27.119
Estimote Timer,Started Estimote Service at,08/05/2019 18:11:52.605
Estimote Timer,No Activity at 1,08/05/2019 18:11:52.620
Estimote Sensor,Killed Sensor at,08/05/2019 18:12:07.642
Estimote Service,Killed Estimote Service at,08/05/2019 18:12:07.655
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:12:57.064
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:13:27.215
Estimote Timer,Started Estimote Service at,08/05/2019 18:13:52.605
Estimote Timer,No Activity at 2,08/05/2019 18:13:52.620
Estimote Sensor,Killed Sensor at,08/05/2019 18:14:07.648
Estimote Service,Killed Estimote Service at,08/05/2019 18:14:07.659
Estimote Timer,Started Estimote Service at,08/05/2019 18:15:52.605
Estimote Timer,No Activity at 3,08/05/2019 18:15:52.622
Estimote Sensor,Killed Sensor at,08/05/2019 18:16:07.659
Estimote Service,Killed Estimote Service at,08/05/2019 18:16:07.694
Estimote Timer,Started Estimote Service at,08/05/2019 18:17:52.607
Estimote Timer,No Activity at 4,08/05/2019 18:17:52.621
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:17:57.066
Estimote Sensor,Killed Sensor at,08/05/2019 18:18:07.664
Estimote Service,Killed Estimote Service at,08/05/2019 18:18:07.734
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:18:27.141
Estimote Timer,Started Estimote Service at,08/05/2019 18:19:52.609
Estimote Timer,No Activity at 5,08/05/2019 18:19:52.625
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:19:52.636
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:19:52.652
Estimote Timer,Started Estimote Service at,08/05/2019 18:21:13.502
Estimote Timer,No Activity at 1,08/05/2019 18:21:13.518
Estimote Sensor,Killed Sensor at,08/05/2019 18:21:28.546
Estimote Service,Killed Estimote Service at,08/05/2019 18:21:28.559
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:22:57.067
Estimote Timer,Started Estimote Service at,08/05/2019 18:23:13.502
Estimote Timer,No Activity at 2,08/05/2019 18:23:13.517
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:23:27.140
Estimote Sensor,Killed Sensor at,08/05/2019 18:23:28.545
Estimote Service,Killed Estimote Service at,08/05/2019 18:23:28.556
Estimote Timer,Started Estimote Service at,08/05/2019 18:25:13.503
Estimote Timer,No Activity at 3,08/05/2019 18:25:13.518
Estimote Sensor,Killed Sensor at,08/05/2019 18:25:28.544
Estimote Service,Killed Estimote Service at,08/05/2019 18:25:28.562
Estimote Timer,Started Estimote Service at,08/05/2019 18:27:13.504
Estimote Timer,No Activity at 4,08/05/2019 18:27:13.522
Estimote Sensor,Killed Sensor at,08/05/2019 18:27:28.552
Estimote Service,Killed Estimote Service at,08/05/2019 18:27:28.564
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:27:57.067
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:28:27.130
Estimote Timer,Started Estimote Service at,08/05/2019 18:29:13.507
Estimote Timer,No Activity at 5,08/05/2019 18:29:13.524
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:29:13.534
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:29:13.546
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:32:57.068
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:33:27.131
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:37:57.070
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:38:27.132
Main Activity,Restarted Estimote Timer at,08/05/2019 18:42:30.739
Estimote Timer,Started Estimote Service at,08/05/2019 18:42:30.961
Estimote Timer,No Activity at 1,08/05/2019 18:42:30.993
Estimote Sensor,Killed Sensor at,08/05/2019 18:42:46.199
Estimote Service,Killed Estimote Service at,08/05/2019 18:42:46.213
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:42:57.071
Main Activity,Failed to unregister battery information at,08/05/2019 18:42:59.714
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:43:27.136
Estimote Timer,Started Estimote Service at,08/05/2019 18:44:30.962
Estimote Timer,No Activity at 2,08/05/2019 18:44:30.978
Estimote Sensor,Killed Sensor at,08/05/2019 18:44:46.003
Estimote Service,Killed Estimote Service at,08/05/2019 18:44:46.016
Estimote Timer,Started Estimote Service at,08/05/2019 18:46:30.964
Estimote Timer,No Activity at 3,08/05/2019 18:46:30.978
Estimote Sensor,Killed Sensor at,08/05/2019 18:46:46.002
Estimote Service,Killed Estimote Service at,08/05/2019 18:46:46.013
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:47:57.073
Main Activity,Failed to unregister battery information at,08/05/2019 18:47:59.311
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:48:27.150
Estimote Timer,Started Estimote Service at,08/05/2019 18:48:30.964
Estimote Timer,No Activity at 4,08/05/2019 18:48:30.979
Estimote Sensor,Killed Sensor at,08/05/2019 18:48:46.002
Estimote Service,Killed Estimote Service at,08/05/2019 18:48:46.016
Estimote Timer,Started Estimote Service at,08/05/2019 18:50:30.966
Estimote Timer,No Activity at 5,08/05/2019 18:50:30.979
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:50:30.988
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:50:31.001
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:52:57.074
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:53:27.150
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:57:57.076
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:58:27.161
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:02:57.077
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:03:27.139
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:07:57.080
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:08:27.139
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:12:57.081
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:13:27.146
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:17:57.083
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:18:27.157
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:22:57.086
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:48:59.550
Main Activity,Restarted Estimote Timer at,08/05/2019 19:49:02.179
Estimote Timer,Started Estimote Service at,08/05/2019 19:49:02.539
Estimote Timer,No Activity at 1,08/05/2019 19:49:02.556
Main Activity,Failed to unregister battery information at,08/05/2019 19:49:02.584
Main Activity,Started Heart Rate Timer at,08/05/2019 19:49:11.947
Main Activity,Started Accelerometer Sensor at,08/05/2019 19:49:11.978
Main Activity,Started Pedometer Sensor at,08/05/2019 19:49:12.011
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:49:13.039
Estimote Timer,Started Estimote Service at,08/05/2019 19:49:13.257
Estimote Timer,No Activity at 1,08/05/2019 19:49:13.301
Estimote Sensor,Killed Sensor at,08/05/2019 19:49:29.513
Estimote Service,Killed Estimote Service at,08/05/2019 19:49:29.534
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:49:44.389
Main Thread,Enabled an Internet Connection at,08/05/2019 19:50:25.309
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 19:50:25.406
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 19:50:25.407
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 19:50:25.408
Main Activity,Restarted Heart Rate Timer at,08/05/2019 19:50:25.648
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 19:50:25.701
Main Activity,Restarted Estimote Timer at,08/05/2019 19:50:25.790
Estimote Timer,Stopped Estimote Timer at,08/05/2019 19:50:25.871
Estimote Timer Service,Stopped Estimote Timer Service at,08/05/2019 19:50:25.896
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:50:26.519
Estimote Timer,Started Estimote Service at,08/05/2019 19:50:26.568
Estimote Timer,No Activity at 1,08/05/2019 19:50:26.715
Main Thread,Enabled an Internet Connection at,08/05/2019 19:50:27.031
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 19:50:27.096
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 19:50:27.097
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 19:50:27.097
Estimote Timer,Stopped Estimote Timer at,08/05/2019 19:50:27.212
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 19:50:27.243
Estimote Sensor,Killed Sensor at,08/05/2019 19:50:41.765
Estimote Service,Killed Estimote Service at,08/05/2019 19:50:41.779
Main Activity,Failed to unregister battery information at,08/05/2019 19:51:00.237
Main Activity,Restarted Heart Rate Timer at,08/06/2019 00:13:03.828
Main Activity,Restarted Accelerometer Sensor at,08/06/2019 00:13:03.919
Main Activity,Restarted Estimote Timer at,08/06/2019 00:13:03.949
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 00:13:04.838
Estimote Timer,Started Estimote Service at,08/06/2019 00:13:05.103
Estimote Timer,No Activity at 1,08/06/2019 00:13:05.175
Estimote Sensor,Killed Sensor at,08/06/2019 00:13:20.314
Estimote Service,Killed Estimote Service at,08/06/2019 00:13:20.384
Main Activity,Failed to unregister battery information at,08/06/2019 00:13:20.427
Heart Rate Sensor,Killed Sensor at,08/06/2019 00:13:35.188
Followup EMA Scheduler Timer,(Re)Initiated at,08/06/2019 00:14:05.657
Followup EMA Scheduler Timer,Failed to Cancel at,08/06/2019 00:14:05.669
Main Activity,Failed to unregister battery information at,08/06/2019 00:14:13.949
Main Activity,Failed to unregister battery information at,08/06/2019 00:14:34.988
Main Activity,Failed to unregister battery information at,08/06/2019 00:14:37.348
Estimote Timer,Started Estimote Service at,08/06/2019 00:15:05.104
Estimote Timer,No Activity at 2,08/06/2019 00:15:05.121
Main Thread,Wifi is disabled at,08/06/2019 00:15:18.337
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/06/2019 00:15:18.362
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/06/2019 00:15:18.363
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/06/2019 00:15:18.364
Estimote Timer,Stopped Estimote Timer at,08/06/2019 00:15:18.427
Estimote Sensor,Killed Sensor at,08/06/2019 00:15:20.153
Main Thread,Wifi is disabled at,08/06/2019 00:15:20.182
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/06/2019 00:15:20.207
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/06/2019 00:15:20.209
Sleep Button,Started Estimote Sensor while NOT charging at,08/06/2019 00:15:20.211
Estimote Service,Killed Estimote Service at,08/06/2019 00:15:20.278
Estimote Timer,Started Estimote Service at,08/06/2019 00:15:20.310
Estimote Timer,No Activity at 1,08/06/2019 00:15:20.370
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 00:15:20.352
Estimote Timer,Started Estimote Service at,08/06/2019 00:15:20.395
Estimote Timer,Starting the Estimote,08/06/2019 00:15:20.496
Main Thread,Wifi is disabled at,08/06/2019 00:15:23.348
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/06/2019 00:15:23.384
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/06/2019 00:15:23.385
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/06/2019 00:15:23.386
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/06/2019 00:15:23.444
Estimote Timer,Stopped Estimote Timer at,08/06/2019 00:15:23.462
Estimote Timer,Started Estimote Service at,08/06/2019 00:15:25.194
Estimote Timer,No Activity at 1,08/06/2019 00:15:25.207
Main Thread,Wifi is disabled at,08/06/2019 00:15:28.342
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/06/2019 00:15:28.371
