Screen, Action, Date --- Time
Main Activity,Restarted Heart Rate Timer at,08/05/2019 16:07:49.112
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 16:07:49.142
Main Activity,Restarted Estimote Timer at,08/05/2019 16:07:49.208
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:07:49.308
Estimote Timer,Started Estimote Service at,08/05/2019 16:07:49.434
Estimote Timer,No Activity at 1,08/05/2019 16:07:49.535
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:07:50.374
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:07:53.804
Estimote Sensor,Killed Sensor at,08/05/2019 16:08:04.619
Estimote Service,Killed Estimote Service at,08/05/2019 16:08:04.631
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:08:19.549
Estimote Timer,Started Estimote Service at,08/05/2019 16:09:49.435
Estimote Timer,No Activity at 2,08/05/2019 16:09:49.449
Estimote Sensor,Killed Sensor at,08/05/2019 16:10:04.479
Estimote Service,Killed Estimote Service at,08/05/2019 16:10:04.493
Estimote Timer,Started Estimote Service at,08/05/2019 16:11:49.436
Estimote Timer,No Activity at 3,08/05/2019 16:11:49.451
Estimote Sensor,Killed Sensor at,08/05/2019 16:12:04.479
Estimote Service,Killed Estimote Service at,08/05/2019 16:12:04.490
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:12:49.310
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:13:19.379
Estimote Timer,Started Estimote Service at,08/05/2019 16:13:49.436
Estimote Timer,No Activity at 4,08/05/2019 16:13:49.451
Estimote Sensor,Killed Sensor at,08/05/2019 16:14:04.481
Estimote Service,Killed Estimote Service at,08/05/2019 16:14:04.494
Main Activity,Failed to unregister battery information at,08/05/2019 16:15:23.497
Estimote Timer,Started Estimote Service at,08/05/2019 16:15:49.439
Estimote Timer,No Activity at 5,08/05/2019 16:15:49.455
Estimote Timer,Stopped the Estimote Timer,08/05/2019 16:15:49.478
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:15:49.491
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:17:49.309
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:18:19.384
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:22:49.310
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:23:19.379
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:27:49.309
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:28:19.384
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:32:49.311
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:33:19.392
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:37:49.312
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:38:19.434
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:42:49.314
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:43:19.387
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:59:00.969
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:01:25.912
Main Activity,Restarted Estimote Timer at,08/05/2019 17:21:08.932
Estimote Timer,Started Estimote Service at,08/05/2019 17:21:09.497
Estimote Timer,No Activity at 1,08/05/2019 17:21:09.546
Estimote Sensor,Killed Sensor at,08/05/2019 17:21:24.584
Estimote Service,Killed Estimote Service at,08/05/2019 17:21:24.606
Main Activity,Failed to unregister battery information at,08/05/2019 17:21:35.016
Estimote Timer,Started Estimote Service at,08/05/2019 17:23:09.528
Estimote Timer,No Activity at 2,08/05/2019 17:23:09.543
Estimote Sensor,Killed Sensor at,08/05/2019 17:23:24.635
Estimote Service,Killed Estimote Service at,08/05/2019 17:23:24.648
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:23:43.241
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:24:13.383
Estimote Timer,Started Estimote Service at,08/05/2019 17:25:09.525
Estimote Timer,No Activity at 3,08/05/2019 17:25:09.539
Estimote Sensor,Killed Sensor at,08/05/2019 17:25:24.568
Estimote Service,Killed Estimote Service at,08/05/2019 17:25:24.581
Estimote Timer,Started Estimote Service at,08/05/2019 17:27:09.526
Estimote Timer,No Activity at 4,08/05/2019 17:27:09.540
Estimote Sensor,Killed Sensor at,08/05/2019 17:27:24.566
Estimote Service,Killed Estimote Service at,08/05/2019 17:27:24.579
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:28:43.243
Estimote Timer,Started Estimote Service at,08/05/2019 17:29:09.527
Estimote Timer,No Activity at 5,08/05/2019 17:29:09.545
Estimote Timer,Stopped the Estimote Timer,08/05/2019 17:29:09.556
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:29:09.568
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:29:13.305
Main Thread,Wifi is disabled at,08/05/2019 17:32:09.391
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 17:32:09.430
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 17:32:09.431
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 17:32:09.431
Estimote Timer,Started Estimote Service at,08/05/2019 17:32:09.500
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:32:09.512
Estimote Timer,No Activity at 1,08/05/2019 17:34:31.620
Main Thread,Wifi is disabled at,08/05/2019 18:00:30.541
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/05/2019 18:00:30.576
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/05/2019 18:00:30.577
Sleep Button,Started Estimote Sensor while NOT charging at,08/05/2019 18:00:30.578
Estimote Timer,Started Estimote Service at,08/05/2019 18:00:30.686
Estimote Timer,No Activity at 1,08/05/2019 18:00:30.706
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:00:30.713
Estimote Timer,Started Estimote Service at,08/05/2019 18:00:30.778
Estimote Timer,No Activity at 2,08/05/2019 18:00:30.806
Estimote Sensor,Killed Sensor at,08/05/2019 18:00:45.497
Estimote Service,Killed Estimote Service at,08/05/2019 18:00:45.509
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:01:00.833
Estimote Timer,Started Estimote Service at,08/05/2019 18:02:30.687
Estimote Timer,No Activity at 3,08/05/2019 18:02:30.704
Estimote Timer,Started Estimote Service at,08/05/2019 18:02:30.776
Estimote Timer,No Activity at 4,08/05/2019 18:02:30.794
Estimote Sensor,Killed Sensor at,08/05/2019 18:02:45.737
Estimote Service,Killed Estimote Service at,08/05/2019 18:02:45.750
Estimote Timer,Started Estimote Service at,08/05/2019 18:04:30.689
Estimote Timer,No Activity at 5,08/05/2019 18:04:30.705
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:04:30.716
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:04:30.729
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:05:30.712
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:06:00.774
