Estimote ID, RSSI, Calculated Distance, Date --- Time
41880,-86,10.015969236057254,2019-08-05 15:43:47.981
28286,-88,11.620020418670533,2019-08-05 15:43:47.992
13800,-90,13.610321341129954,2019-08-05 15:43:47.999
30461,-94,19.51973442830692,2019-08-05 15:43:48.007
55284,-55,0.2561509476744502,2019-08-05 15:43:48.863
11814,-58,0.4264364202122968,2019-08-05 15:43:48.870
62725,-59,0.530010610983797,2019-08-05 15:43:48.876
44235,-60,0.5899321003065906,2019-08-05 15:43:48.891
53301,-60,0.5899321003065906,2019-08-05 15:43:48.884
22042,-65,1.2396202709685444,2019-08-05 15:43:48.902
53024,-67,1.5183108731975967,2019-08-05 15:43:48.908
35359,-77,4.243704690980712,2019-08-05 15:43:48.944
12598,-68,1.67832242226384,2019-08-05 15:43:48.923
50250,-69,1.955808306448999,2019-08-05 15:43:48.936
42110,-80,5.54786650149242,2019-08-05 15:43:48.953
28286,-88,11.620020418670533,2019-08-05 15:43:48.967
25294,-81,6.137897975392404,2019-08-05 15:43:48.961
41880,-89,13.276031872722957,2019-08-05 15:43:48.990
13800,-90,13.610321341129954,2019-08-05 15:43:49.008
30461,-94,19.51973442830692,2019-08-05 15:43:49.018
55284,-55,0.2561509476744502,2019-08-05 15:43:49.862
53301,-60,0.5899321003065906,2019-08-05 15:43:49.893
62725,-59,0.530010610983797,2019-08-05 15:43:49.876
11814,-58,0.4264364202122968,2019-08-05 15:43:49.867
44235,-60,0.5899321003065906,2019-08-05 15:43:49.905
22042,-65,1.2396202709685444,2019-08-05 15:43:49.913
50250,-68,1.67832242226384,2019-08-05 15:43:49.921
12598,-70,2.0451263937029682,2019-08-05 15:43:49.928
35359,-72,2.6571132868724683,2019-08-05 15:43:49.935
53024,-74,3.171834071238562,2019-08-05 15:43:49.942
42110,-80,5.54786650149242,2019-08-05 15:43:49.947
25294,-81,6.137897975392404,2019-08-05 15:43:49.953
28286,-86,10.015969236057254,2019-08-05 15:43:49.959
41880,-90,13.610321341129954,2019-08-05 15:43:49.965
13800,-90,13.610321341129954,2019-08-05 15:43:49.978
30461,-94,19.51973442830692,2019-08-05 15:43:49.985
11814,-56,0.30867241938827744,2019-08-05 15:44:04.154
22042,-57,0.36094285711589763,2019-08-05 15:44:04.158
53301,-64,1.1040213512631076,2019-08-05 15:44:04.162
45125,-67,1.5183108731975967,2019-08-05 15:44:04.176
50250,-65,1.2396202709685444,2019-08-05 15:44:04.172
55284,-55,0.2561509476744502,2019-08-05 15:44:04.150
44235,-69,1.955808306448999,2019-08-05 15:44:04.180
12598,-70,2.0451263937029682,2019-08-05 15:44:04.184
35359,-72,2.6571132868724683,2019-08-05 15:44:04.193
53024,-64,1.1040213512631076,2019-08-05 15:44:04.167
41880,-89,13.276031872722957,2019-08-05 15:44:04.216
62725,-71,2.2858140923583377,2019-08-05 15:44:04.188
13800,-84,8.259640758743096,2019-08-05 15:44:04.208
25294,-81,6.137897975392404,2019-08-05 15:44:04.203
42110,-80,5.54786650149242,2019-08-05 15:44:04.198
28286,-86,10.015969236057254,2019-08-05 15:44:04.212
