Date --- Time, Charging State, Battery Level
08/06/2019 13:15:41.328, Unplugged,15
08/06/2019 13:20:41.331, Unplugged,14
08/06/2019 13:25:41.331, Unplugged,13
08/06/2019 13:30:41.333, Unplugged,12
08/06/2019 13:35:41.334, Unplugged,11
08/06/2019 13:40:41.334, Unplugged,9
08/06/2019 13:45:41.336, Unplugged,8
08/06/2019 13:50:41.337, Unplugged,7
08/06/2019 13:55:41.339, Unplugged,5
08/06/2019 14:00:41.341, Unplugged,4
08/06/2019 14:05:41.341, Unplugged,1
08/06/2019 15:18:38.618, Unplugged,1
08/06/2019 15:18:45.801,Plugged,1
08/06/2019 15:18:49.032, Unplugged,2
08/06/2019 15:23:49.034, Unplugged,5
08/06/2019 15:28:49.034, Unplugged,11
08/06/2019 15:33:49.035, Unplugged,19
08/06/2019 15:38:49.037, Unplugged,27
08/06/2019 15:43:49.038, Unplugged,36
08/06/2019 15:48:49.039, Unplugged,46
08/06/2019 15:53:49.040, Unplugged,56
08/06/2019 15:58:49.041, Unplugged,67
08/06/2019 16:03:49.043, Unplugged,78
08/06/2019 16:08:49.046, Unplugged,87
08/06/2019 16:13:49.046, Unplugged,94
08/06/2019 16:18:49.046, Unplugged,99
08/06/2019 16:23:49.047, Unplugged,100
08/06/2019 16:28:49.047, Unplugged,100
08/06/2019 16:33:49.047, Unplugged,100
08/06/2019 16:38:49.049, Unplugged,100
08/06/2019 16:43:49.051, Unplugged,100
08/06/2019 16:48:49.053, Unplugged,100
08/06/2019 16:53:49.054, Unplugged,100
08/06/2019 16:58:49.055, Unplugged,100
08/06/2019 17:03:49.056, Unplugged,100
08/06/2019 17:08:49.056, Unplugged,100
08/06/2019 17:13:49.058, Unplugged,100
08/06/2019 17:18:49.061, Unplugged,100
08/06/2019 17:23:49.062, Unplugged,100
08/06/2019 17:28:49.063, Unplugged,100
08/06/2019 17:33:49.064, Unplugged,100
08/06/2019 17:38:49.066, Unplugged,100
08/06/2019 17:43:49.068, Unplugged,100
08/06/2019 17:48:49.070, Unplugged,100
08/06/2019 17:53:49.072, Unplugged,100
08/06/2019 17:58:49.073, Unplugged,100
08/06/2019 18:03:49.074, Unplugged,100
08/06/2019 18:08:49.074, Unplugged,100
08/06/2019 18:13:49.075, Unplugged,100
08/06/2019 18:18:49.075, Unplugged,100
08/06/2019 18:23:49.077, Unplugged,100
08/06/2019 18:28:49.079, Unplugged,100
08/06/2019 18:33:49.081, Unplugged,100
08/06/2019 18:38:49.081, Unplugged,100
08/06/2019 18:43:49.083, Unplugged,100
08/06/2019 18:48:49.084, Unplugged,100
08/06/2019 18:53:49.085, Unplugged,100
08/06/2019 18:58:49.086, Unplugged,100
08/06/2019 19:03:49.085, Unplugged,100
08/06/2019 19:08:49.086, Unplugged,100
08/06/2019 19:13:49.088, Unplugged,100
08/06/2019 19:18:49.090, Unplugged,100
08/06/2019 19:23:49.091, Unplugged,100
08/06/2019 19:28:49.091, Unplugged,100
08/06/2019 19:33:49.093, Unplugged,100
08/06/2019 19:38:49.095, Unplugged,100
08/06/2019 19:43:49.097, Unplugged,100
08/06/2019 19:48:49.098, Unplugged,100
08/06/2019 19:53:49.100, Unplugged,100
08/06/2019 19:58:49.101, Unplugged,100
08/06/2019 20:03:49.103, Unplugged,100
08/06/2019 20:08:49.104, Unplugged,100
08/06/2019 20:13:49.104, Unplugged,100
08/06/2019 20:18:49.105, Unplugged,100
08/06/2019 20:23:49.108, Unplugged,100
08/06/2019 20:28:49.108, Unplugged,100
08/06/2019 20:33:49.110, Unplugged,100
08/06/2019 20:38:49.112, Unplugged,100
08/06/2019 20:43:49.114, Unplugged,100
08/06/2019 20:48:49.114, Unplugged,100
08/06/2019 20:53:49.114, Unplugged,100
08/06/2019 20:58:49.115, Unplugged,100
