Screen, Action, Date --- Time
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:51:27.095
Estimote Timer,Started Estimote Service at,08/05/2019 15:51:27.193
Estimote Timer,No Activity at 1,08/05/2019 15:51:27.251
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:51:31.882
Main Thread,Enabled an Internet Connection at,08/05/2019 15:51:31.996
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:51:32.042
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:51:32.044
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:51:32.058
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:51:32.450
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:51:32.525
Estimote Sensor,Killed Sensor at,08/05/2019 15:51:43.769
Estimote Service,Killed Estimote Service at,08/05/2019 15:51:43.790
Main Activity,Restarted Heart Rate Timer at,08/05/2019 15:52:12.047
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 15:52:12.077
Main Activity,Restarted Estimote Timer at,08/05/2019 15:52:12.108
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:52:12.331
Estimote Timer,Started Estimote Service at,08/05/2019 15:52:12.447
Estimote Timer,No Activity at 1,08/05/2019 15:52:12.491
Main Activity,Failed to unregister battery information at,08/05/2019 15:52:13.546
Estimote Sensor,Killed Sensor at,08/05/2019 15:52:27.679
Estimote Service,Killed Estimote Service at,08/05/2019 15:52:27.698
Heart Rate Sensor,Killed Sensor at,08/05/2019 15:52:42.629
Main Activity,Failed to unregister battery information at,08/05/2019 15:52:52.874
Main Activity,Failed to unregister battery information at,08/05/2019 15:53:32.252
Main Activity,Started Heart Rate Timer at,08/05/2019 15:54:07.860
Main Activity,Started Accelerometer Sensor at,08/05/2019 15:54:07.899
Main Activity,Started Pedometer Sensor at,08/05/2019 15:54:07.933
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:54:08.367
Estimote Timer,Started Estimote Service at,08/05/2019 15:54:08.566
Estimote Timer,No Activity at 1,08/05/2019 15:54:08.696
Main Activity,Failed to unregister battery information at,08/05/2019 15:54:10.897
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:54:12.884
Main Thread,Enabled an Internet Connection at,08/05/2019 15:54:13.036
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:54:13.105
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:54:13.109
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:54:13.112
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:54:13.529
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:54:13.565
Estimote Sensor,Killed Sensor at,08/05/2019 15:54:25.476
Estimote Service,Killed Estimote Service at,08/05/2019 15:54:25.496
Main Activity,Failed to unregister battery information at,08/05/2019 15:54:45.434
Main Activity,Restarted Heart Rate Timer at,08/05/2019 15:55:32.601
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 15:55:32.653
Main Activity,Restarted Estimote Timer at,08/05/2019 15:55:32.702
Estimote Timer,Started Estimote Service at,08/05/2019 15:55:32.907
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:55:32.816
Estimote Timer,No Activity at 1,08/05/2019 15:55:32.968
Main Activity,Failed to unregister battery information at,08/05/2019 15:55:38.128
Estimote Sensor,Killed Sensor at,08/05/2019 15:55:48.094
Estimote Service,Killed Estimote Service at,08/05/2019 15:55:48.153
Main Thread,Enabled an Internet Connection at,08/05/2019 15:55:52.634
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:55:52.681
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:55:52.682
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:55:52.683
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:55:52.964
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:55:53.012
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:55:54.929
Main Activity,Failed to unregister battery information at,08/05/2019 15:56:24.921
Main Activity,Restarted Heart Rate Timer at,08/05/2019 15:59:38.540
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 15:59:38.678
Main Activity,Restarted Estimote Timer at,08/05/2019 15:59:38.730
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:59:38.909
Estimote Timer,Started Estimote Service at,08/05/2019 15:59:38.970
Estimote Timer,No Activity at 1,08/05/2019 15:59:39.003
Main Thread,Wifi is disabled at,08/05/2019 15:59:39.680
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 15:59:39.717
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 15:59:39.718
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 15:59:39.719
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:59:39.845
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:59:39.875
Main Activity,Started Heart Rate Timer at,08/05/2019 15:59:40.619
Main Activity,Started Accelerometer Sensor at,08/05/2019 15:59:40.640
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:59:40.815
Estimote Timer,Started Estimote Service at,08/05/2019 15:59:40.879
Estimote Timer,No Activity at 1,08/05/2019 15:59:40.967
Main Activity,Failed to unregister battery information at,08/05/2019 15:59:41.558
Estimote Sensor,Killed Sensor at,08/05/2019 15:59:54.647
Estimote Service,Killed Estimote Service at,08/05/2019 15:59:54.666
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:00:11.330
Main Activity,Failed to unregister battery information at,08/05/2019 16:00:35.522
Main Activity,Failed to unregister battery information at,08/05/2019 16:01:09.459
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:01:15.670
Main Thread,Enabled an Internet Connection at,08/05/2019 16:01:15.685
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 16:01:15.718
