Screen, Action, Date --- Time
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 16:01:15.719
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 16:01:15.720
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:01:15.813
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:01:16.684
Main Activity,Failed to unregister battery information at,08/05/2019 16:01:39.378
Main Activity,Restarted Heart Rate Timer at,08/05/2019 16:04:12.600
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 16:04:12.641
Main Activity,Restarted Estimote Timer at,08/05/2019 16:04:12.692
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:04:12.813
Estimote Timer,Started Estimote Service at,08/05/2019 16:04:12.886
Estimote Timer,No Activity at 1,08/05/2019 16:04:12.951
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:04:20.325
Estimote Sensor,Killed Sensor at,08/05/2019 16:04:27.995
Estimote Service,Killed Estimote Service at,08/05/2019 16:04:28.027
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:04:42.963
Main Activity,Failed to unregister battery information at,08/05/2019 16:04:43.908
Main Activity,Started Heart Rate Timer at,08/05/2019 16:05:17.357
Main Activity,Started Accelerometer Sensor at,08/05/2019 16:05:17.411
Main Activity,Started Pedometer Sensor at,08/05/2019 16:05:17.442
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:05:17.911
Estimote Timer,Started Estimote Service at,08/05/2019 16:05:18.084
Estimote Timer,No Activity at 1,08/05/2019 16:05:18.121
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:05:22.385
Main Thread,Enabled an Internet Connection at,08/05/2019 16:05:22.459
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 16:05:22.513
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 16:05:22.515
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 16:05:22.517
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:05:23.974
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 16:05:24.081
Main Activity,Restarted Heart Rate Timer at,08/05/2019 16:05:35.498
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 16:05:35.528
Main Activity,Restarted Estimote Timer at,08/05/2019 16:05:35.563
Estimote Timer,Started Estimote Service at,08/05/2019 16:05:35.796
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:05:35.731
Estimote Timer,No Activity at 1,08/05/2019 16:05:35.917
Estimote Sensor,Killed Sensor at,08/05/2019 16:05:36.329
Estimote Service,Killed Estimote Service at,08/05/2019 16:05:36.346
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:06:02.396
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:06:06.124
Main Activity,Failed to unregister battery information at,08/05/2019 16:06:10.386
Main Activity,Started Heart Rate Timer at,08/05/2019 16:06:44.049
Main Activity,Started Accelerometer Sensor at,08/05/2019 16:06:44.095
Main Activity,Started Pedometer Sensor at,08/05/2019 16:06:44.129
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:06:44.623
Estimote Timer,Started Estimote Service at,08/05/2019 16:06:44.860
Estimote Timer,No Activity at 1,08/05/2019 16:06:44.972
Main Activity,Failed to unregister battery information at,08/05/2019 16:06:47.382
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:06:49.079
Main Thread,Enabled an Internet Connection at,08/05/2019 16:06:49.166
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 16:06:49.220
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 16:06:49.225
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 16:06:49.230
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:06:49.586
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 16:06:49.633
Main Activity,Restarted Heart Rate Timer at,08/05/2019 16:06:53.888
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 16:06:53.914
Main Activity,Restarted Estimote Timer at,08/05/2019 16:06:53.938
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:06:54.011
Estimote Timer,Started Estimote Service at,08/05/2019 16:06:54.081
Estimote Timer,No Activity at 1,08/05/2019 16:06:54.174
Main Activity,Failed to unregister battery information at,08/05/2019 16:06:58.147
Estimote Sensor,Killed Sensor at,08/05/2019 16:07:01.854
Estimote Service,Killed Estimote Service at,08/05/2019 16:07:02.355
Main Thread,Wifi is disabled at,08/05/2019 16:07:15.664
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 16:07:15.701
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 16:07:15.702
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 16:07:15.703
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 16:07:15.796
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:07:16.075
Main Activity,Restarted Heart Rate Timer at,08/05/2019 17:01:52.840
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 17:01:52.909
Main Activity,Restarted Estimote Timer at,08/05/2019 17:01:52.932
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:01:53.454
Estimote Timer,Started Estimote Service at,08/05/2019 17:01:53.590
Estimote Timer,No Activity at 1,08/05/2019 17:01:53.620
Estimote Sensor,Killed Sensor at,08/05/2019 17:02:08.733
Estimote Service,Killed Estimote Service at,08/05/2019 17:02:08.750
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:02:23.683
Main Activity,Failed to unregister battery information at,08/05/2019 17:02:24.558
Main Activity,Failed to unregister battery information at,08/05/2019 17:03:28.342
Estimote Timer,Started Estimote Service at,08/05/2019 17:03:53.602
Estimote Timer,No Activity at 2,08/05/2019 17:03:53.617
Estimote Sensor,Killed Sensor at,08/05/2019 17:04:08.647
Estimote Service,Killed Estimote Service at,08/05/2019 17:04:08.659
Estimote Timer,Started Estimote Service at,08/05/2019 17:05:53.602
Estimote Timer,No Activity at 3,08/05/2019 17:05:53.615
Estimote Sensor,Killed Sensor at,08/05/2019 17:06:08.647
Estimote Service,Killed Estimote Service at,08/05/2019 17:06:08.661
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:06:53.438
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:07:23.509
Estimote Timer,Started Estimote Service at,08/05/2019 17:07:53.603
Estimote Timer,No Activity at 4,08/05/2019 17:07:53.616
Estimote Sensor,Killed Sensor at,08/05/2019 17:08:08.642
Estimote Service,Killed Estimote Service at,08/05/2019 17:08:08.655
Estimote Timer,Started Estimote Service at,08/05/2019 17:09:53.604
Estimote Timer,No Activity at 5,08/05/2019 17:09:53.621
Estimote Timer,Stopped the Estimote Timer,08/05/2019 17:09:53.633
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:09:53.644
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:11:53.438
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:12:23.513
Main Activity,Restarted Estimote Timer at,08/05/2019 17:14:15.821
Estimote Timer,Started Estimote Service at,08/05/2019 17:14:15.951
Estimote Timer,No Activity at 1,08/05/2019 17:14:15.986
Estimote Sensor,Killed Sensor at,08/05/2019 17:14:31.021
Estimote Service,Killed Estimote Service at,08/05/2019 17:14:31.035
Main Activity,Failed to unregister battery information at,08/05/2019 17:14:46.174
Estimote Timer,Started Estimote Service at,08/05/2019 17:16:15.952
Estimote Timer,No Activity at 2,08/05/2019 17:16:15.968
Estimote Sensor,Killed Sensor at,08/05/2019 17:16:30.996
Estimote Service,Killed Estimote Service at,08/05/2019 17:16:31.009
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:16:53.440
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:17:23.523
Estimote Timer,Started Estimote Service at,08/05/2019 17:18:15.953
Estimote Timer,No Activity at 3,08/05/2019 17:18:15.969
Estimote Sensor,Killed Sensor at,08/05/2019 17:18:30.996
Estimote Service,Killed Estimote Service at,08/05/2019 17:18:31.008
Estimote Timer,Started Estimote Service at,08/05/2019 17:20:15.954
Estimote Timer,No Activity at 4,08/05/2019 17:20:15.969
Estimote Sensor,Killed Sensor at,08/05/2019 17:20:30.995
Estimote Service,Killed Estimote Service at,08/05/2019 17:20:31.007
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:21:53.442
Estimote Timer,Started Estimote Service at,08/05/2019 17:22:15.955
Estimote Timer,No Activity at 5,08/05/2019 17:22:15.969
Estimote Timer,Stopped the Estimote Timer,08/05/2019 17:22:15.979
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:22:15.991
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:22:23.503
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:26:53.444
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:27:23.518
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:31:53.444
Main Thread,Wifi is disabled at,08/05/2019 17:32:11.149
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 17:32:11.174
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 17:32:11.175
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 17:32:11.176
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 17:32:11.265
Estimote Timer,Started Estimote Service at,08/05/2019 17:32:11.263
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:32:11.282
Estimote Timer,Starting the Estimote,08/05/2019 17:32:52.388
Main Thread,Wifi is disabled at,08/05/2019 17:32:52.783
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/05/2019 17:34:31.964
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/05/2019 17:34:31.965
Sleep Button,Started Estimote Sensor while NOT charging at,08/05/2019 17:34:31.966
Estimote Timer,Started Estimote Service at,08/05/2019 17:34:32.089
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:34:32.104
Estimote Timer,No Activity at 1,08/05/2019 17:34:32.153
Estimote Timer,Started Estimote Service at,08/05/2019 17:34:32.152
Estimote Timer,No Activity at 2,08/05/2019 17:34:32.207
Estimote Sensor,Killed Sensor at,08/05/2019 17:34:47.048
Estimote Service,Killed Estimote Service at,08/05/2019 17:34:47.061
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:35:02.213
Estimote Timer,Started Estimote Service at,08/05/2019 17:36:32.089
Estimote Timer,No Activity at 3,08/05/2019 17:36:32.103
Estimote Timer,Started Estimote Service at,08/05/2019 17:36:32.153
Estimote Timer,No Activity at 4,08/05/2019 17:36:32.168
Estimote Sensor,Killed Sensor at,08/05/2019 17:36:47.131
Estimote Service,Killed Estimote Service at,08/05/2019 17:36:47.143
Estimote Timer,Started Estimote Service at,08/05/2019 17:38:32.090
Estimote Timer,No Activity at 5,08/05/2019 17:38:32.114
Estimote Timer,Stopped the Estimote Timer,08/05/2019 17:38:32.125
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:38:32.137
Main Thread,Wifi is disabled at,08/05/2019 17:38:36.112
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 17:38:36.133
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 17:38:36.133
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 17:38:36.134
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:38:36.199
Estimote Timer,Started Estimote Service at,08/05/2019 17:38:36.196
Estimote Timer,No Activity at 1,08/05/2019 17:38:36.218
Estimote Timer,Started Estimote Service at,08/05/2019 17:50:31.822
Estimote Timer,No Activity at 1,08/05/2019 17:50:31.841
Estimote Sensor,Killed Sensor at,08/05/2019 17:50:54.935
Estimote Service,Killed Estimote Service at,08/05/2019 17:50:54.947
Estimote Sensor,Killed Sensor at,08/05/2019 17:50:54.947
Main Thread,Wifi is disabled at,08/05/2019 18:14:25.628
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/05/2019 18:14:25.651
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/05/2019 18:14:25.652
Sleep Button,Started Estimote Sensor while NOT charging at,08/05/2019 18:14:25.652
Estimote Timer,Started Estimote Service at,08/05/2019 18:14:25.753
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:14:25.723
Estimote Timer,No Activity at 2,08/05/2019 18:14:25.767
Estimote Timer,Started Estimote Service at,08/05/2019 18:14:25.887
Estimote Timer,No Activity at 3,08/05/2019 18:14:25.902
Estimote Sensor,Killed Sensor at,08/05/2019 18:14:40.829
Estimote Service,Killed Estimote Service at,08/05/2019 18:14:40.840
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:14:55.816
Estimote Timer,Started Estimote Service at,08/05/2019 18:16:25.754
Estimote Timer,No Activity at 4,08/05/2019 18:16:25.769
Estimote Timer,Started Estimote Service at,08/05/2019 18:16:25.887
Estimote Timer,No Activity at 5,08/05/2019 18:16:25.900
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:16:25.909
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:16:25.919
Estimote Sensor,Killed Sensor at,08/05/2019 18:16:40.799
Estimote Service,Killed Estimote Service at,08/05/2019 18:16:40.810
Estimote Timer,Started Estimote Service at,08/05/2019 18:17:36.298
Estimote Timer,No Activity at 1,08/05/2019 18:17:36.311
Estimote Sensor,Killed Sensor at,08/05/2019 18:17:51.338
Estimote Service,Killed Estimote Service at,08/05/2019 18:17:51.350
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:19:25.722
Estimote Timer,Started Estimote Service at,08/05/2019 18:19:36.298
Estimote Timer,No Activity at 2,08/05/2019 18:19:36.315
Estimote Sensor,Killed Sensor at,08/05/2019 18:19:51.400
Estimote Service,Killed Estimote Service at,08/05/2019 18:19:51.414
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:19:55.793
Estimote Timer,Started Estimote Service at,08/05/2019 18:21:36.299
Estimote Timer,No Activity at 3,08/05/2019 18:21:36.315
Estimote Sensor,Killed Sensor at,08/05/2019 18:21:51.343
Estimote Service,Killed Estimote Service at,08/05/2019 18:21:51.370
Estimote Timer,Started Estimote Service at,08/05/2019 18:23:36.300
Estimote Timer,No Activity at 4,08/05/2019 18:23:36.313
Estimote Sensor,Killed Sensor at,08/05/2019 18:23:51.348
Estimote Service,Killed Estimote Service at,08/05/2019 18:23:51.360
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:24:25.721
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:24:55.798
Estimote Timer,Started Estimote Service at,08/05/2019 18:25:36.300
Estimote Timer,No Activity at 5,08/05/2019 18:25:36.315
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:25:36.325
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:25:36.340
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:29:25.722
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:29:55.793
Estimote Timer,Started Estimote Service at,08/05/2019 18:33:46.090
Estimote Timer,No Activity at 1,08/05/2019 18:33:46.103
Estimote Sensor,Killed Sensor at,08/05/2019 18:34:01.129
Estimote Service,Killed Estimote Service at,08/05/2019 18:34:01.142
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:34:25.722
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:34:55.798
Estimote Timer,Started Estimote Service at,08/05/2019 18:35:46.090
Estimote Timer,No Activity at 2,08/05/2019 18:35:46.106
Estimote Sensor,Killed Sensor at,08/05/2019 18:36:01.134
Estimote Service,Killed Estimote Service at,08/05/2019 18:36:01.146
Estimote Timer,Started Estimote Service at,08/05/2019 18:37:46.091
Estimote Timer,No Activity at 3,08/05/2019 18:37:46.106
Estimote Sensor,Killed Sensor at,08/05/2019 18:38:01.135
Estimote Service,Killed Estimote Service at,08/05/2019 18:38:01.147
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:39:25.724
Estimote Timer,Started Estimote Service at,08/05/2019 18:39:46.093
Estimote Timer,No Activity at 4,08/05/2019 18:39:46.109
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:39:55.788
Estimote Sensor,Killed Sensor at,08/05/2019 18:40:01.136
Estimote Service,Killed Estimote Service at,08/05/2019 18:40:01.219
Estimote Timer,Started Estimote Service at,08/05/2019 18:41:46.094
Estimote Timer,No Activity at 5,08/05/2019 18:41:46.110
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:41:46.119
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:41:46.130
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:44:25.726
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:44:55.799
Estimote Timer,Started Estimote Service at,08/05/2019 18:45:31.309
Estimote Timer,Starting the Estimote,08/05/2019 18:45:31.330
Estimote Sensor,Killed Sensor at,08/05/2019 18:45:46.357
Estimote Service,Killed Estimote Service at,08/05/2019 18:45:46.380
Estimote Timer,Started Estimote Service at,08/05/2019 18:47:31.309
Estimote Timer,No Activity at 1,08/05/2019 18:47:31.324
Estimote Sensor,Killed Sensor at,08/05/2019 18:47:46.353
Estimote Service,Killed Estimote Service at,08/05/2019 18:47:46.366
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:49:25.728
Estimote Timer,Started Estimote Service at,08/05/2019 18:49:31.310
Estimote Timer,No Activity at 2,08/05/2019 18:49:31.324
Estimote Sensor,Killed Sensor at,08/05/2019 18:49:46.360
Estimote Service,Killed Estimote Service at,08/05/2019 18:49:46.372
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:49:55.798
Estimote Timer,Started Estimote Service at,08/05/2019 18:51:31.310
Estimote Timer,No Activity at 3,08/05/2019 18:51:31.322
Estimote Sensor,Killed Sensor at,08/05/2019 18:51:46.347
Estimote Service,Killed Estimote Service at,08/05/2019 18:51:46.398
Estimote Timer,Started Estimote Service at,08/05/2019 18:53:31.312
Estimote Timer,No Activity at 4,08/05/2019 18:53:31.326
Estimote Sensor,Killed Sensor at,08/05/2019 18:53:46.358
Estimote Service,Killed Estimote Service at,08/05/2019 18:53:46.372
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:54:25.729
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:54:55.786
Estimote Timer,Started Estimote Service at,08/05/2019 18:55:31.313
Estimote Timer,No Activity at 5,08/05/2019 18:55:31.330
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:55:31.340
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:55:31.352
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:59:25.730
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:59:55.800
Main Activity,Restarted Estimote Timer at,08/05/2019 19:22:21.335
Estimote Timer,Started Estimote Service at,08/05/2019 19:22:22.923
Estimote Timer,No Activity at 1,08/05/2019 19:22:22.970
Main Activity,Failed to unregister battery information at,08/05/2019 19:22:23.461
Estimote Timer,Stopped Estimote Timer at,08/05/2019 19:25:12.171
Main Activity,Started Heart Rate Timer at,08/05/2019 19:25:13.963
Main Activity,Started Accelerometer Sensor at,08/05/2019 19:25:14.013
Main Activity,Started Pedometer Sensor at,08/05/2019 19:25:14.056
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:25:14.462
Estimote Timer,Started Estimote Service at,08/05/2019 19:25:14.658
Estimote Timer,No Activity at 1,08/05/2019 19:25:14.708
Estimote Sensor,Killed Sensor at,08/05/2019 19:25:31.495
Estimote Service,Killed Estimote Service at,08/05/2019 19:25:31.511
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:25:46.444
Estimote Timer,Started Estimote Service at,08/05/2019 19:27:14.639
Estimote Timer,No Activity at 2,08/05/2019 19:27:14.664
Estimote Sensor,Killed Sensor at,08/05/2019 19:27:29.701
Estimote Service,Killed Estimote Service at,08/05/2019 19:27:29.718
Estimote Timer,Started Estimote Service at,08/05/2019 19:29:14.640
Estimote Timer,No Activity at 3,08/05/2019 19:29:14.668
Estimote Sensor,Killed Sensor at,08/05/2019 19:29:29.731
Estimote Service,Killed Estimote Service at,08/05/2019 19:29:29.746
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:30:14.430
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:30:44.505
Estimote Timer,Started Estimote Service at,08/05/2019 19:31:14.642
Estimote Timer,No Activity at 4,08/05/2019 19:31:14.659
Estimote Sensor,Killed Sensor at,08/05/2019 19:31:29.688
Estimote Service,Killed Estimote Service at,08/05/2019 19:31:29.701
Main Activity 'Daily Survey' Button,Started End of Day EMA at,08/05/2019 19:32:39.628
Main Activity,Failed to unregister battery information at,08/05/2019 19:32:40.503
Manual EMA Prompt,Started End of Day EMA at,08/05/2019 19:32:47.171
Estimote Timer,Started Estimote Service at,08/05/2019 19:33:14.643
Estimote Timer,No Activity at 5,08/05/2019 19:33:14.657
Estimote Timer,Stopped the Estimote Timer,08/05/2019 19:33:14.666
Estimote Timer,Stopped Estimote Timer at,08/05/2019 19:33:14.678
Estimote Timer,Started Estimote Service at,08/05/2019 19:34:37.810
Estimote Timer,No Activity at 1,08/05/2019 19:34:37.878
Estimote Sensor,Killed Sensor at,08/05/2019 19:34:52.961
Estimote Service,Killed Estimote Service at,08/05/2019 19:34:52.973
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:35:14.430
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:35:44.524
Estimote Timer,Started Estimote Service at,08/05/2019 19:36:37.812
Estimote Timer,No Activity at 2,08/05/2019 19:36:37.828
